backend,knot_points,sqp_budget_us,test_iters,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,2,0.0001,1139.97
hip-nvidia,128,5000,1,2,0.0001,1090.47
hip-nvidia,128,5000,1,2,0.0001,625.458
hip-nvidia,128,5000,1,2,0.0001,274.671
hip-nvidia,128,5000,1,2,0.0001,455.883
hip-nvidia,128,5000,1,2,0.0001,512.483
hip-nvidia,128,5000,1,2,0.0001,1074.42
hip-nvidia,128,5000,1,2,0.0001,489.202
hip-nvidia,128,5000,1,2,0.0001,240.027
hip-nvidia,128,5000,1,2,0.0001,516.217
hip-nvidia,128,5000,1,2,0.0001,307.384
hip-nvidia,128,5000,1,2,0.0001,895.875
hip-nvidia,128,5000,1,2,0.0001,299.276
hip-nvidia,128,5000,1,2,0.0001,283.3
hip-nvidia,128,5000,1,2,0.0001,250.034
hip-nvidia,128,5000,1,2,0.0001,692.066
hip-nvidia,128,5000,1,2,0.0001,1120.71
hip-nvidia,128,5000,1,2,0.0001,1091.91
hip-nvidia,128,5000,1,2,0.0001,1112.0
hip-nvidia,128,5000,1,2,0.0001,1241.97
hip-nvidia,128,5000,1,2,0.0001,944.542
hip-nvidia,128,5000,1,2,0.0001,1187.5
hip-nvidia,128,5000,1,2,0.0001,1156.44
hip-nvidia,128,5000,1,2,0.0001,1130.63
hip-nvidia,128,5000,1,2,0.0001,1133.39
hip-nvidia,128,5000,1,2,0.0001,1211.41
hip-nvidia,128,5000,1,2,0.0001,1082.66
hip-nvidia,128,5000,1,2,0.0001,1201.87
hip-nvidia,128,5000,1,2,0.0001,1090.75
hip-nvidia,128,5000,1,2,0.0001,1188.95
hip-nvidia,128,5000,1,2,0.0001,1236.02
hip-nvidia,128,5000,1,2,0.0001,1093.08
hip-nvidia,128,5000,1,2,0.0001,1080.98
hip-nvidia,128,5000,1,2,0.0001,1085.26
hip-nvidia,128,5000,1,2,0.0001,1192.22
hip-nvidia,128,5000,1,2,0.0001,1323.52
hip-nvidia,128,5000,1,2,0.0001,1189.92
hip-nvidia,128,5000,1,2,0.0001,1281.52
hip-nvidia,128,5000,1,2,0.0001,1180.52
hip-nvidia,128,5000,1,2,0.0001,1123.75
hip-nvidia,128,5000,1,2,0.0001,1129.35
hip-nvidia,128,5000,1,2,0.0001,1084.34
hip-nvidia,128,5000,1,2,0.0001,1131.33
hip-nvidia,128,5000,1,2,0.0001,1120.95
hip-nvidia,128,5000,1,2,0.0001,1134.02
hip-nvidia,128,5000,1,2,0.0001,1244.73
hip-nvidia,128,5000,1,2,0.0001,1147.02
hip-nvidia,128,5000,1,2,0.0001,1244.24
hip-nvidia,128,5000,1,2,0.0001,1151.94
hip-nvidia,128,5000,1,2,0.0001,1403.87
hip-nvidia,128,5000,1,2,0.0001,2509.71
hip-nvidia,128,5000,1,2,0.0001,1148.62
hip-nvidia,128,5000,1,2,0.0001,1182.76
hip-nvidia,128,5000,1,2,0.0001,1140.58
hip-nvidia,128,5000,1,2,0.0001,1192.14
hip-nvidia,128,5000,1,2,0.0001,1198.31
hip-nvidia,128,5000,1,2,0.0001,1142.58
hip-nvidia,128,5000,1,2,0.0001,1383.03
hip-nvidia,128,5000,1,2,0.0001,1417.31
hip-nvidia,128,5000,1,2,0.0001,1275.77
hip-nvidia,128,5000,1,2,0.0001,1761.75
hip-nvidia,128,5000,1,2,0.0001,1155.14
hip-nvidia,128,5000,1,2,0.0001,1161.76
hip-nvidia,128,5000,1,2,0.0001,1155.38
hip-nvidia,128,5000,1,2,0.0001,1223.52
hip-nvidia,128,5000,1,2,0.0001,1160.42
hip-nvidia,128,5000,1,2,0.0001,1198.12
hip-nvidia,128,5000,1,2,0.0001,1236.57
hip-nvidia,128,5000,1,2,0.0001,1016.84
hip-nvidia,128,5000,1,2,0.0001,508.836
hip-nvidia,128,5000,1,2,0.0001,443.943
hip-nvidia,128,5000,1,2,0.0001,420.641
hip-nvidia,128,5000,1,2,0.0001,242.729
hip-nvidia,128,5000,1,2,0.0001,413.629
hip-nvidia,128,5000,1,2,0.0001,349.431
hip-nvidia,128,5000,1,2,0.0001,513.352
hip-nvidia,128,5000,1,2,0.0001,1100.75
hip-nvidia,128,5000,1,2,0.0001,624.623
hip-nvidia,128,5000,1,2,0.0001,1245.23
hip-nvidia,128,5000,1,2,0.0001,1936.78
hip-nvidia,128,5000,1,2,0.0001,1194.68
hip-nvidia,128,5000,1,2,0.0001,1247.65
hip-nvidia,128,5000,1,2,0.0001,1499.66
hip-nvidia,128,5000,1,2,0.0001,1395.02
hip-nvidia,128,5000,1,2,0.0001,1488.83
hip-nvidia,128,5000,1,2,0.0001,1486.06
hip-nvidia,128,5000,1,2,0.0001,1443.71
hip-nvidia,128,5000,1,2,0.0001,1377.69
hip-nvidia,128,5000,1,2,0.0001,1085.23
hip-nvidia,128,5000,1,2,0.0001,1077.79
hip-nvidia,128,5000,1,2,0.0001,1205.12
hip-nvidia,128,5000,1,2,0.0001,1379.94
hip-nvidia,128,5000,1,2,0.0001,1455.73
hip-nvidia,128,5000,1,2,0.0001,1158.89
hip-nvidia,128,5000,1,2,0.0001,1120.15
hip-nvidia,128,5000,1,2,0.0001,1081.12
hip-nvidia,128,5000,1,2,0.0001,1114.3
hip-nvidia,128,5000,1,2,0.0001,1218.58
hip-nvidia,128,5000,1,2,0.0001,1431.72
hip-nvidia,128,5000,1,2,0.0001,1459.58
hip-nvidia,128,5000,1,2,0.0001,1416.16
hip-nvidia,128,5000,1,2,0.0001,1489.65
hip-nvidia,128,5000,1,2,0.0001,1394.43
hip-nvidia,128,5000,1,2,0.0001,1185.86
hip-nvidia,128,5000,1,2,0.0001,1285.02
hip-nvidia,128,5000,1,2,0.0001,1446.79
hip-nvidia,128,5000,1,2,0.0001,1178.13
hip-nvidia,128,5000,1,2,0.0001,1217.49
hip-nvidia,128,5000,1,2,0.0001,1175.78
hip-nvidia,128,5000,1,2,0.0001,1278.5
hip-nvidia,128,5000,1,2,0.0001,1242.25
hip-nvidia,128,5000,1,2,0.0001,1172.33
hip-nvidia,128,5000,1,2,0.0001,1210.96
hip-nvidia,128,5000,1,2,0.0001,1160.47
hip-nvidia,128,5000,1,2,0.0001,1165.0
hip-nvidia,128,5000,1,2,0.0001,1244.47
hip-nvidia,128,5000,1,2,0.0001,1192.36
hip-nvidia,128,5000,1,2,0.0001,419.468
hip-nvidia,128,5000,1,2,0.0001,529.665
hip-nvidia,128,5000,1,2,0.0001,233.764
hip-nvidia,128,5000,1,2,0.0001,222.878
hip-nvidia,128,5000,1,2,0.0001,1094.8
hip-nvidia,128,5000,1,2,0.0001,393.29
hip-nvidia,128,5000,1,2,0.0001,868.535
hip-nvidia,128,5000,1,2,0.0001,857.703
hip-nvidia,128,5000,1,2,0.0001,463.643
hip-nvidia,128,5000,1,2,0.0001,400.854
hip-nvidia,128,5000,1,2,0.0001,386.256
hip-nvidia,128,5000,1,2,0.0001,335.734
hip-nvidia,128,5000,1,2,0.0001,184.955
hip-nvidia,128,5000,1,2,0.0001,493.858
hip-nvidia,128,5000,1,2,0.0001,272.175
hip-nvidia,128,5000,1,2,0.0001,668.644
hip-nvidia,128,5000,1,2,0.0001,1124.97
hip-nvidia,128,5000,1,2,0.0001,1166.74
hip-nvidia,128,5000,1,2,0.0001,1121.49
hip-nvidia,128,5000,1,2,0.0001,1102.61
hip-nvidia,128,5000,1,2,0.0001,1244.8
hip-nvidia,128,5000,1,2,0.0001,1259.08
hip-nvidia,128,5000,1,2,0.0001,625.697
hip-nvidia,128,5000,1,2,0.0001,207.629
hip-nvidia,128,5000,1,2,0.0001,460.256
hip-nvidia,128,5000,1,2,0.0001,471.468
hip-nvidia,128,5000,1,2,0.0001,1085.07
hip-nvidia,128,5000,1,2,0.0001,1118.09
hip-nvidia,128,5000,1,2,0.0001,1175.44
hip-nvidia,128,5000,1,2,0.0001,1120.48
hip-nvidia,128,5000,1,2,0.0001,487.216
hip-nvidia,128,5000,1,2,0.0001,467.094
hip-nvidia,128,5000,1,2,0.0001,268.018
hip-nvidia,128,5000,1,2,0.0001,319.117
hip-nvidia,128,5000,1,2,0.0001,649.652
hip-nvidia,128,5000,1,2,0.0001,497.082
hip-nvidia,128,5000,1,2,0.0001,293.036
hip-nvidia,128,5000,1,2,0.0001,252.693
hip-nvidia,128,5000,1,2,0.0001,337.079
hip-nvidia,128,5000,1,2,0.0001,433.415
hip-nvidia,128,5000,1,2,0.0001,335.983
hip-nvidia,128,5000,1,2,0.0001,258.477
hip-nvidia,128,5000,1,2,0.0001,351.764
hip-nvidia,128,5000,1,2,0.0001,289.128
hip-nvidia,128,5000,1,2,0.0001,358.015
hip-nvidia,128,5000,1,2,0.0001,323.262
hip-nvidia,128,5000,1,2,0.0001,703.853
hip-nvidia,128,5000,1,2,0.0001,414.682
hip-nvidia,128,5000,1,2,0.0001,513.352
hip-nvidia,128,5000,1,2,0.0001,642.216
hip-nvidia,128,5000,1,2,0.0001,244.01
hip-nvidia,128,5000,1,2,0.0001,181.515
hip-nvidia,128,5000,1,2,0.0001,350.408
hip-nvidia,128,5000,1,2,0.0001,495.78
hip-nvidia,128,5000,1,2,0.0001,521.438
hip-nvidia,128,5000,1,2,0.0001,444.475
hip-nvidia,128,5000,1,2,0.0001,234.275
hip-nvidia,128,5000,1,2,0.0001,979.328
hip-nvidia,128,5000,1,2,0.0001,209.973
hip-nvidia,128,5000,1,2,0.0001,486.099
hip-nvidia,128,5000,1,2,0.0001,529.079
hip-nvidia,128,5000,1,2,0.0001,252.117
hip-nvidia,128,5000,1,2,0.0001,483.982
hip-nvidia,128,5000,1,2,0.0001,700.141
hip-nvidia,128,5000,1,2,0.0001,429.617
hip-nvidia,128,5000,1,2,0.0001,1100.06
hip-nvidia,128,5000,1,2,0.0001,1204.96
hip-nvidia,128,5000,1,2,0.0001,1132.52
hip-nvidia,128,5000,1,2,0.0001,1242.06
hip-nvidia,128,5000,1,2,0.0001,1091.09
hip-nvidia,128,5000,1,2,0.0001,748.331
hip-nvidia,128,5000,1,2,0.0001,296.194
hip-nvidia,128,5000,1,2,0.0001,449.728
hip-nvidia,128,5000,1,2,0.0001,363.703
hip-nvidia,128,5000,1,2,0.0001,364.832
hip-nvidia,128,5000,1,2,0.0001,550.776
hip-nvidia,128,5000,1,2,0.0001,318.151
hip-nvidia,128,5000,1,2,0.0001,257.208
hip-nvidia,128,5000,1,2,0.0001,253.528
hip-nvidia,128,5000,1,2,0.0001,173.559
hip-nvidia,128,5000,1,2,0.0001,550.862
hip-nvidia,128,5000,1,2,0.0001,375.294
hip-nvidia,128,5000,1,2,0.0001,251.358
hip-nvidia,128,5000,1,2,0.0001,588.947
hip-nvidia,128,5000,1,2,0.0001,474.388
hip-nvidia,128,5000,1,2,0.0001,2346.13
hip-nvidia,128,5000,1,2,0.0001,1242.63
hip-nvidia,128,5000,1,2,0.0001,1163.11
hip-nvidia,128,5000,1,2,0.0001,1139.33
hip-nvidia,128,5000,1,2,0.0001,1204.17
hip-nvidia,128,5000,1,2,0.0001,1134.21
hip-nvidia,128,5000,1,2,0.0001,1174.56
hip-nvidia,128,5000,1,2,0.0001,629.854
hip-nvidia,128,5000,1,2,0.0001,299.895
hip-nvidia,128,5000,1,2,0.0001,362.162
hip-nvidia,128,5000,1,2,0.0001,667.625
hip-nvidia,128,5000,1,2,0.0001,582.89
hip-nvidia,128,5000,1,2,0.0001,260.822
hip-nvidia,128,5000,1,2,0.0001,379.104
hip-nvidia,128,5000,1,2,0.0001,665.204
hip-nvidia,128,5000,1,2,0.0001,610.491
hip-nvidia,128,5000,1,2,0.0001,279.936
hip-nvidia,128,5000,1,2,0.0001,761.671
hip-nvidia,128,5000,1,2,0.0001,639.036
hip-nvidia,128,5000,1,2,0.0001,659.094
hip-nvidia,128,5000,1,2,0.0001,351.623
hip-nvidia,128,5000,1,2,0.0001,843.951
hip-nvidia,128,5000,1,2,0.0001,1041.89
hip-nvidia,128,5000,1,2,0.0001,685.771
hip-nvidia,128,5000,1,2,0.0001,478.761
hip-nvidia,128,5000,1,2,0.0001,646.416
